Date,AdjOpen,AdjHigh,AdjLow,AdjClose
03/01/2017,800.62,811.435,796.89,808.01
05/01/2017,807.5,813.74,805.92,813.02
06/01/2017,814.99,828.96,811.5,825.21
09/01/2017,826.37,830.43,821.62,827.18
10/01/2017,827.07,829.41,823.14,826.01
11/01/2017,826.62,829.9,821.47,829.86
12/01/2017,828.38,830.38,821.01,829.53
13/01/2017,831,834.65,829.52,830.94
17/01/2017,830,830.18,823.2001,827.46
19/01/2017,829,832.9999,823.96,824.37
20/01/2017,829.09,829.24,824.6,828.17
23/01/2017,831.61,845.5428,828.7,844.43
24/01/2017,846.98,851.52,842.28,849.53
25/01/2017,853.55,858.7936,849.74,858.45
26/01/2017,859.05,861,850.5201,856.98
30/01/2017,837.06,837.23,821.03,823.83
31/01/2017,819.5,823.07,813.4,820.19
01/02/2017,824,824,812.25,815.24
02/02/2017,815,824.56,812.051,818.26
03/02/2017,823.13,826.13,819.35,820.13
06/02/2017,820.92,822.39,814.29,821.62
07/02/2017,825.5,831.92,823.2926,829.23
08/02/2017,830.53,834.25,825.11,829.88
09/02/2017,831.73,831.98,826.5,830.06
10/02/2017,832.95,837.15,830.51,834.85
13/02/2017,837.7,841.735,836.246,838.96
14/02/2017,839.77,842,835.83,840.03
15/02/2017,838.81,841.7725,836.22,837.32
16/02/2017,838.5,842.69,837.26,842.17
17/02/2017,841.31,846.94,839.78,846.55
21/02/2017,847.99,852.2,846.55,849.27
22/02/2017,848,853.79,846.7101,851.36
23/02/2017,851.08,852.62,842.5,851
24/02/2017,847.65,848.36,842.9601,847.81
27/02/2017,844.95,850.67,843.01,849.67
28/02/2017,847.35,848.83,841.4422,844.93
01/03/2017,851.38,858,849.02,856.75
02/03/2017,856.31,856.49,848.72,849.85
03/03/2017,848.94,850.82,844.705,849.08
06/03/2017,846.86,848.94,841.17,847.27
07/03/2017,847.26,853.33,845.52,851.15
08/03/2017,853.12,856.93,851.25,853.64
09/03/2017,853.69,860.71,852.67,857.84
10/03/2017,862.7,864.229,857.61,861.405
13/03/2017,860.83,867.13,860.82,864.58
15/03/2017,867.94,869.88,861.295,868.39
16/03/2017,870.53,872.71,867.52,870
17/03/2017,873.68,874.42,868.37,872.37
20/03/2017,869.48,870.34,864.665,867.91
21/03/2017,870.06,873.47,847.687,850.14
22/03/2017,849.48,855.35,847,849.8
23/03/2017,841.39,841.69,833,839.65
24/03/2017,842,844,829.1,835.14
27/03/2017,828.09,841.38,824.3,838.51
29/03/2017,842.75,851.585,841.38,849.87
30/03/2017,851.98,852,846.77,849.48
31/03/2017,846.83,849.56,845.2445,847.8
03/04/2017,848.75,859,847.5298,856.75
04/04/2017,848,853,847.505,852.57
05/04/2017,854.71,860.59,847.52,848.91
06/04/2017,849.5,853.59,844,845.095
07/04/2017,845,845.88,837.3,842.1
11/04/2017,841.7,844.63,834.6,839.88
12/04/2017,838.46,843.72,837.59,841.46
13/04/2017,841.04,843.73,837.8503,840.18
17/04/2017,841.38,855.64,841.03,855.13
18/04/2017,852.54,857.39,851.25,853.99
19/04/2017,857.385,860.2,853.5275,856.51
20/04/2017,859.74,863.93,857.5,860.08
