Date,AdjVolume
03/01/2017,1959033
04/01/2017,1515339
05/01/2017,1340535
06/01/2017,2017097
09/01/2017,1408924
10/01/2017,1197442
11/01/2017,1325394
12/01/2017,1350308
13/01/2017,1290182
17/01/2017,1440905
18/01/2017,1027698
19/01/2017,1070454
20/01/2017,1306183
23/01/2017,2457377
24/01/2017,1688375
25/01/2017,1662148
26/01/2017,3493251
08/09/2017,996449
11/09/2017,1317796
12/09/2017,1245767
13/09/2017,1092849
14/09/2017,1415168
15/09/2017,1940047
18/09/2017,1445532
19/09/2017,1217430
20/09/2017,1896919
21/09/2017,1302726
22/09/2017,1067617
25/09/2017,1847436
26/09/2017,1618182
27/09/2017,2313498
28/09/2017,1347750
29/09/2017,1906445
02/10/2017,1466444
03/10/2017,1080312
04/10/2017,896531
05/10/2017,1627255
06/10/2017,1490744
09/10/2017,1151035
10/10/2017,1158864
11/10/2017,1748443
12/10/2017,1521137
13/10/2017,1308881
16/10/2017,1066744
17/10/2017,991412
18/10/2017,1270218
19/10/2017,1677021
20/10/2017,1568454
23/10/2017,1623580
24/10/2017,1416283
25/10/2017,1368042
26/10/2017,1827682
27/10/2017,5139945
30/10/2017,2245352
31/10/2017,1490660
01/11/2017,2105729
02/11/2017,1233333
03/11/2017,1370874
06/11/2017,897897
07/11/2017,1254965
09/11/2017,1776722
10/11/2017,955500
13/11/2017,914852
14/11/2017,982782
15/11/2017,900695
16/11/2017,1125995
17/11/2017,1286044
20/11/2017,850423
21/11/2017,1075568
26/12/2017,914574
27/12/2017,1027634
28/12/2017,982285
29/12/2017,1156357
